Country,Year,Month,State/Ut Name,Type Of Supply,"E-Way Suppliers (UOM:Number), Scaling Factor:1","E-Way Bills (UOM:Number), Scaling Factor:1","Assessable Value (UOM:INR(IndianRupees)), Scaling Factor:10000000"
India,"Calendar Year (Jan - Dec), 2025","May, 2025",NAGALAND,OUTGOING TO OTHER STATES,350,3030,121.6594
India,"Calendar Year (Jan - Dec), 2025","May, 2025",NAGALAND,WITHIN-STATE,255,4082,114.021
India,"Calendar Year (Jan - Dec), 2025","May, 2025",ODISHA,INCOMING FROM OTHER STATES,42913,723253,40504.8199
India,"Calendar Year (Jan - Dec), 2025","May, 2025",ODISHA,OUTGOING TO OTHER STATES,9227,422517,35832.303199999995
India,"Calendar Year (Jan - Dec), 2025","May, 2025",ODISHA,WITHIN-STATE,22455,1589243,31933.5381
India,"Calendar Year (Jan - Dec), 2025","May, 2025",Other Territory,INCOMING FROM OTHER STATES,232,13566,2458.0225
India,"Calendar Year (Jan - Dec), 2025","May, 2025",Other Territory,OUTGOING TO OTHER STATES,44,4930,922.738
India,"Calendar Year (Jan - Dec), 2025","May, 2025",Other Territory,WITHIN-STATE,9,163,76.4272
India,"Calendar Year (Jan - Dec), 2025","May, 2025",PUDUCHERRY,INCOMING FROM OTHER STATES,6522,154038,4568.6417
India,"Calendar Year (Jan - Dec), 2025","May, 2025",PUDUCHERRY,OUTGOING TO OTHER STATES,2291,146264,5119.1593
India,"Calendar Year (Jan - Dec), 2025","May, 2025",PUDUCHERRY,WITHIN-STATE,1403,58469,1695.6764
India,"Calendar Year (Jan - Dec), 2025","May, 2025",PUNJAB,INCOMING FROM OTHER STATES,82992,1230436,43116.6733
India,"Calendar Year (Jan - Dec), 2025","May, 2025",PUNJAB,OUTGOING TO OTHER STATES,54517,1383088,41494.793
India,"Calendar Year (Jan - Dec), 2025","May, 2025",PUNJAB,WITHIN-STATE,79584,2861793,57074.6354
India,"Calendar Year (Jan - Dec), 2025","May, 2025",RAJASTHAN,INCOMING FROM OTHER STATES,122762,1890615,64789.4113
India,"Calendar Year (Jan - Dec), 2025","May, 2025",RAJASTHAN,OUTGOING TO OTHER STATES,60848,1871317,56188.2269
India,"Calendar Year (Jan - Dec), 2025","May, 2025",RAJASTHAN,WITHIN-STATE,70968,2408845,56002.75519999999
India,"Calendar Year (Jan - Dec), 2025","May, 2025",SIKKIM,INCOMING FROM OTHER STATES,3343,76487,1431.0119
India,"Calendar Year (Jan - Dec), 2025","May, 2025",SIKKIM,OUTGOING TO OTHER STATES,267,7965,3696.8257
India,"Calendar Year (Jan - Dec), 2025","May, 2025",SIKKIM,WITHIN-STATE,235,7291,140.173
India,"Calendar Year (Jan - Dec), 2025","May, 2025",TAMIL NADU,INCOMING FROM OTHER STATES,136995,2850542,121074.2657
India,"Calendar Year (Jan - Dec), 2025","May, 2025",TAMIL NADU,OUTGOING TO OTHER STATES,81474,2953584,125290.2275
India,"Calendar Year (Jan - Dec), 2025","May, 2025",TAMIL NADU,WITHIN-STATE,141884,8802704,164210.54929999998
